Date,Close,VIX,dmi_plus,dmi_minus,adx,trend_score,iv_signal,global_score,regime_2
2017-02-02,2280.85009765625,11.930000305175781,22.885741812114265,24.09962585876816,16.708367259949327,0,0,0,-1
2017-02-03,2297.419921875,10.970000267028809,32.67870781894065,20.116087881186175,17.720769964859006,0,0,0,-1
2017-02-06,2292.56005859375,11.369999885559082,29.76891985822001,18.324904745739563,18.588543711924444,0,0,0,-1
2017-02-07,2293.080078125,11.289999961853027,30.265924372007174,16.531825441764138,20.125576939239217,1,0,1,-1
2017-02-08,2294.669921875,11.449999809265137,26.781737940730032,19.854443826550973,19.372480941437487,0,0,0,-1
2017-02-09,2307.8701171875,10.880000114440918,38.146391003355454,16.418076088921545,22.293749912876876,1,0,1,-1
2017-02-10,2316.10009765625,10.850000381469727,42.26663091049645,14.404584496200506,26.132410023193444,2,0,2,-1
2017-02-13,2328.25,11.069999694824219,48.38749511982723,12.054330750228782,30.986725560036152,2,0,2,-1
2017-02-14,2337.580078125,10.739999771118164,46.881703984477795,10.13399143083796,35.7674681633701,2,0,2,-1
2017-02-15,2349.25,11.970000267028809,52.90682517780443,8.452869606638789,41.00756367210209,2,1,3,-1
2017-02-16,2347.219970703125,11.760000228881836,46.17662299096971,7.375954198639813,45.49982756009518,2,0,2,-1
2017-02-17,2351.159912109375,11.489999771118164,40.56419172036569,6.479460836553012,49.35033946408925,2,0,2,-1
2017-02-21,2365.3798828125,11.569999694824219,50.07142686364106,5.443019008674969,53.7846654167054,2,0,2,-1
2017-02-22,2362.820068359375,11.739999771118164,46.17068326668372,5.018988321392452,57.58551623323353,2,0,2,-1
2017-02-23,2363.81005859375,11.710000038146973,39.46108603343209,7.875786307282266,58.89108786003908,2,0,2,-1
2017-02-24,2367.340087890625,11.470000267028809,33.26462137963658,9.048171848666778,58.65407250990636,2,0,2,-1
2017-02-27,2369.75,12.09000015258789,34.37373707935488,8.06125673648523,59.13299944282081,2,0,2,-1
2017-02-28,2363.639892578125,12.920000076293945,30.099788920639746,10.412419911254162,57.62773355718345,2,0,2,-1
2017-03-01,2395.9599609375,12.539999961853027,49.74716253982827,6.932381367230827,60.18639025578682,2,0,2,-1
2017-03-02,2381.919921875,11.8100004196167,42.705560673655455,5.951117972892866,62.37952456887542,2,0,2,-1
2017-03-03,2383.1201171875,10.960000038146973,39.21911094800845,10.056308281375669,61.92291626900614,2,0,2,-1
2017-03-06,2375.31005859375,11.239999771118164,33.53060709422953,15.6964769039948,58.252255211158015,2,0,2,-1
2017-03-07,2368.389892578125,11.449999809265137,30.220464658046524,16.6350259900751,54.07255255055326,2,0,2,-1
2017-03-08,2362.97998046875,11.859999656677246,26.46347173568185,19.198045036712497,48.62097188079896,2,0,2,-1
2017-03-09,2364.8701171875,12.300000190734863,22.530254321598544,22.958273961096126,41.809538717747465,-2,0,-2,-1
2017-03-10,2372.60009765625,11.65999984741211,27.307765303046743,19.709829732733837,38.14528615103802,2,0,2,-1
2017-03-13,2373.469970703125,11.350000381469727,25.51001907657809,18.412276760780887,35.00449823671564,2,0,2,-1
2017-03-14,2365.449951171875,12.300000190734863,21.27526850442187,26.58197346299025,31.5879433832953,-2,0,-2,-1
2017-03-15,2385.260009765625,11.630000114440918,36.9596891276114,20.27472856728564,31.239947256626685,2,0,2,-1
2017-03-16,2381.3798828125,11.210000038146973,32.90912559117148,18.052738118115126,30.94166486233929,2,0,2,-1
2017-03-17,2378.25,11.279999732971191,30.068023842554766,16.494214003197406,30.68599423866439,2,0,2,-1
2017-03-20,2373.469970703125,11.34000015258789,26.76433746322932,23.547233420558335,27.21576108229124,2,0,2,-1
2017-03-21,2344.02001953125,12.470000267028809,17.62169121648608,39.1926745141015,28.751721016118548,-2,1,-1,-1
2017-03-22,2348.449951171875,12.8100004196167,15.284371424935173,38.70038966404703,30.840794773850515,-2,0,-2,-1
2017-03-23,2345.9599609375,13.119999885559082,19.199568469495905,33.10127330519852,30.232148344731193,-2,0,-2,-1
2017-03-24,2343.97998046875,12.960000038146973,15.92153294257163,32.77677529046297,30.857778045781977,-2,0,-2,-1
2017-03-27,2341.590087890625,12.5,13.047275813937537,37.61162218761495,33.376623675300166,-2,0,-2,-1
2017-03-28,2358.570068359375,11.529999732971191,24.617308630153158,30.254808910051867,30.076232963627852,-2,0,-2,1
2017-03-29,2361.1298828125,11.420000076293945,22.565400049201447,27.733001877842455,27.247326639337295,-2,0,-2,1
2017-03-30,2368.06005859375,11.539999961853027,26.253059674012952,24.973589955891548,23.711660584789254,1,0,1,-1
